id,date
1,1979-09-26
2,2022-08-16
3,2023-09-07
4,1975-01-16
5,2015-04-21
6,1992-12-26
7,1974-03-23
8,1967-07-27
9,1959-10-12
10,2013-08-13
11,1991-04-30
12,1962-05-23
13,1962-12-14
14,2004-01-28
15,1987-02-01
16,1963-06-20
17,1985-03-27
18,2017-10-26
19,2022-10-05
20,2016-11-07
21,1966-04-26
22,1979-09-09
23,1981-06-23
24,2023-05-17
25,1994-02-21
26,2014-12-21
27,2004-10-21
28,1967-01-12
29,1963-02-28
30,1965-10-10
31,1997-07-01
32,2004-03-16
33,2021-10-15
34,1999-04-07
35,2008-05-07
36,1967-08-27
37,1961-04-27
38,1981-09-10
39,1995-04-08
40,1970-02-23
41,2018-07-07
42,1962-09-07
43,1957-06-17
44,1992-01-13
45,1976-10-09
46,1986-12-25
47,1961-12-24
48,1991-11-10
49,2005-09-26
50,1973-06-11
51,1973-09-24
52,1992-12-19
53,1979-12-28
54,1990-11-15
55,1982-10-14
56,1989-11-12
57,1989-05-04
58,1984-03-11
59,1980-01-16
60,1969-02-19
61,2003-11-20
62,1995-04-16
63,1990-07-07
64,1977-05-22
65,1989-11-23
66,2008-01-14
67,1982-04-23
68,1972-07-03
69,1979-10-05
70,2020-01-06
71,2005-03-02
72,1998-12-19
73,1999-05-11
74,2022-02-01
75,1972-11-09
76,1987-12-12
77,1985-06-21
78,2006-04-14
79,1966-12-09
80,1996-04-03
81,2023-09-27
82,1965-08-15
83,2004-02-01
84,2011-02-14
85,1993-09-20
86,1997-11-16
87,1962-10-09
88,1982-04-26
89,1993-11-19
90,1992-04-13
91,1956-10-28
92,1997-01-30
93,1978-04-29
94,1981-04-07
95,1976-11-25
96,2000-03-13
97,2010-12-30
98,1992-05-14
99,1986-04-15
100,2019-11-18
101,1993-08-02
102,2004-12-28
103,1976-05-27
104,2006-12-08
105,1995-06-17
106,1996-12-19
107,1967-06-21
108,1968-09-26
109,1963-08-23
110,2008-06-25
111,1972-05-11
112,1961-08-15
113,2013-08-30
114,2020-05-25
115,1986-11-10
116,2018-11-02
117,1963-06-29
118,1970-12-16
119,2008-08-21
120,2004-05-18
121,2005-06-30
122,2010-08-02
123,2018-04-08
124,1977-05-10
125,1984-10-30
126,2022-09-13
127,1960-01-28
128,1969-05-06
129,1996-11-10
130,2017-01-04
131,1989-09-07
132,2010-06-23
133,2019-01-17
134,2008-07-29
135,1985-06-26
136,1982-01-30
137,1998-09-13
138,2011-08-18
139,1997-10-09
140,2003-09-12
141,2009-05-20
142,2020-01-12
143,1987-03-24
144,1990-11-01
145,1997-05-15
146,1967-06-01
147,1984-01-18
148,2003-07-02
149,2022-06-14
150,1959-04-06
151,1962-10-28
152,1995-02-03
153,1983-12-28
154,1964-12-08
155,1978-05-17
156,1974-03-28
157,1965-03-30
158,2004-03-30
159,1972-12-17
160,1999-12-09
161,1963-07-23
162,1958-08-10
163,1970-07-29
164,1992-05-10
165,1983-05-18
166,1979-09-25
167,1968-07-28
168,1986-11-26
169,1970-12-17
170,2018-05-14
171,2017-04-29
172,1992-02-09
173,1968-04-02
174,2022-08-21
175,2005-10-18
176,1985-09-23
177,1971-11-01
178,2011-07-28
179,1988-07-20
180,1989-12-17
181,1956-07-27
182,1994-07-27
183,1958-10-08
184,2021-08-17
185,1963-07-05
186,1982-04-15
187,1957-08-20
188,1970-08-20
189,1958-03-27
190,1960-10-15
191,1978-04-04
192,1969-06-21
193,1996-03-02
194,1991-09-06
195,1964-06-25
196,1964-08-14
197,2006-06-15
198,2023-01-17
199,2006-05-01
200,2004-10-16
201,1992-11-21
202,1964-04-18
203,1997-01-08
204,1974-05-18
205,1972-09-11
206,2009-12-05
207,1984-03-12
208,1976-05-29
209,2014-02-10
210,1959-01-10
211,2023-11-25
212,1962-10-04
213,1961-11-18
214,2006-07-05
215,2009-11-24
216,1981-09-10
217,2008-04-08
218,2002-04-01
219,2022-08-28
220,2001-04-03
221,1977-06-11
222,1964-05-21
223,2007-08-30
224,2009-01-28
225,1971-06-10
226,1990-08-25
227,1984-06-14
228,1995-10-25
229,1999-02-24
230,1973-09-10
231,2005-03-12
232,1994-05-14
233,1974-09-18
234,1996-09-23
235,2014-12-13
236,2019-02-19
237,1963-06-03
238,1977-03-18
239,2022-05-18
240,2002-03-20
241,1965-07-31
242,1967-12-04
243,1965-03-04
244,2010-11-07
245,1959-06-02
246,1969-10-28
247,1977-08-01
248,2021-07-27
249,1976-03-14
250,2006-01-19
251,1962-10-28
252,1961-05-24
253,2016-11-04
254,1971-10-08
255,2006-06-25
256,1998-07-27
257,1962-01-03
258,2016-12-15
259,2021-08-27
260,2022-04-15
261,2017-04-21
262,1977-03-03
263,1990-11-20
264,2015-05-02
265,2022-01-23
266,2001-03-27
267,1982-04-22
268,1991-10-21
269,2019-10-01
270,1977-09-30
271,1991-10-07
272,1984-08-29
273,1959-02-09
274,1977-02-07
275,1980-04-04
276,1982-02-12
277,1999-09-23
278,1957-10-28
279,1982-10-19
280,1968-11-10
281,1992-11-20
282,1995-08-05
283,1995-12-12
284,1991-01-01
285,2011-03-22
286,2002-02-07
287,1999-05-15
288,1978-09-04
289,1995-11-22
290,1970-05-07
